Game Date,Split Type,Away Category,Away Team,Away Wins,Away Losses,Away Win %,Away P/L,Home Category,Home Team,Home Wins,Home Losses,Home Win %,Home P/L
"2025-05-25","ALL","ALL GAMES","CLE","28","22","56%","+510","ALL GAMES","DET","32","20","61%","+457"
"2025-05-25","LOCATION","ON ROAD","CLE","14","14","50%","+172","AT HOME","DET","17","7","70%","+476"
"2025-05-25","STATUS","AS FAVORITE","CLE","16","15","51%","+337","AS UNDERDOG OR EVEN","DET","21","10","67%","+224"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","CLE","1","0","100%","+175","WHEN LINE WAS +126 TO +156","DET","0","1","0%","-100"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","CLE","10","9","52%","+335","AS HOME UNDERDOG","DET","13","5","72%","+233"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","CLE","7","9","43%","-208","VS TEAMS THAT WIN >54% OF GAMES","DET","6","9","40%","-381"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","CLE","10","6","62%","+248","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","DET","4","3","57%","+48"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","CLE","19","13","59%","+542","3RD GAME WITHOUT A DAY OFF","DET","21","17","55%","-177"
"2025-05-25","HEAD TO HEAD","VS DET","CLE","2","0","100%","+206","VS CLE","DET","0","2","0%","-200"
"2025-05-25","PROJECTED STARTER","WHEN LOGAN ALLEN STARTS","CLE","5","4","55%","+44","WHEN TARIK SKUBAL STARTS","DET","6","4","60%","-113"
"2025-05-25","ALL","ALL GAMES","BAL","16","34","32%","-1996","ALL GAMES","BOS","27","26","50%","-413"
"2025-05-25","LOCATION","ON ROAD","BAL","8","19","29%","-1150","AT HOME","BOS","16","12","57%","+7"
"2025-05-25","STATUS","AS FAVORITE","BAL","7","15","31%","-776","AS UNDERDOG OR EVEN","BOS","20","16","55%","-180"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","BAL","7","9","43%","-176","WHEN LINE WAS +126 TO +156","BOS","14","5","73%","+620"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","BAL","6","13","31%","-689","AS HOME UNDERDOG","BOS","14","10","58%","-20"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","BAL","6","14","30%","-854","VS TEAMS THAT WIN >54% OF GAMES","BOS","7","7","50%","-297"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","BAL","7","15","31%","-864","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","BOS","12","8","60%","+67"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","BAL","12","19","38%","-822","3RD GAME WITHOUT A DAY OFF","BOS","16","21","43%","-732"
"2025-05-25","HEAD TO HEAD","VS BOS","BAL","1","4","20%","-332","VS BAL","BOS","4","1","80%","+259"
"2025-05-25","PROJECTED STARTER","WHEN DEAN KREMER STARTS","BAL","3","7","30%","-444","WHEN WALKER BUEHLER STARTS","BOS","6","1","85%","+404"
"2025-05-25","ALL","ALL GAMES","SF","30","22","57%","+257","ALL GAMES","WAS","24","28","46%","+206"
"2025-05-25","LOCATION","ON ROAD","SF","13","13","50%","+66","AT HOME","WAS","13","13","50%","+408"
"2025-05-25","STATUS","AS FAVORITE","SF","19","12","61%","+18","AS UNDERDOG OR EVEN","WAS","22","22","50%","+648"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","SF","4","4","50%","-145","WHEN LINE WAS +126 TO +156","WAS","8","7","53%","+407"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","SF","3","5","37%","-275","AS HOME UNDERDOG","WAS","13","9","59%","+808"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","SF","9","10","47%","-342","VS TEAMS THAT WIN >54% OF GAMES","WAS","11","11","50%","+408"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","SF","17","10","63%","+256","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","WAS","7","5","58%","+511"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","SF","22","15","59%","+307","3RD GAME WITHOUT A DAY OFF","WAS","15","21","41%","-69"
"2025-05-25","HEAD TO HEAD","VS WAS","SF","1","1","50%","-3","VS SF","WAS","1","1","50%","+35"
"2025-05-25","PROJECTED STARTER","WHEN ROBBIE RAY STARTS","SF","9","1","90%","+719","WHEN MIKE SOROKA STARTS","WAS","1","3","25%","-147"
"2025-05-25","ALL","ALL GAMES","MIL","25","28","47%","-730","ALL GAMES","PIT","19","34","35%","-1172"
"2025-05-25","LOCATION","ON ROAD","MIL","10","18","35%","-916","AT HOME","PIT","13","15","46%","-100"
"2025-05-25","STATUS","AS FAVORITE","MIL","18","8","69%","+515","AS UNDERDOG OR EVEN","PIT","13","23","36%","-510"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","MIL","11","7","61%","+194","WHEN LINE WAS +126 TO +156","PIT","5","7","41%","-168"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","MIL","5","4","55%","-82","AS HOME UNDERDOG","PIT","9","8","52%","+318"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","MIL","12","12","50%","-309","VS TEAMS THAT WIN >54% OF GAMES","PIT","8","10","44%","-10"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","MIL","14","16","46%","-499","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","PIT","12","19","38%","-601"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","MIL","20","20","50%","-216","3RD GAME WITHOUT A DAY OFF","PIT","14","25","35%","-883"
"2025-05-25","HEAD TO HEAD","VS PIT","MIL","1","2","33%","-113","VS MIL","PIT","2","1","66%","+70"
"2025-05-25","PROJECTED STARTER","WHEN LOGAN HENDERSON STARTS","MIL","3","0","100%","+257","WHEN BAILEY FALTER STARTS","PIT","5","5","50%","+212"
"2025-05-25","ALL","ALL GAMES","TOR","25","25","50%","-77","ALL GAMES","TB","24","26","48%","-249"
"2025-05-25","LOCATION","ON ROAD","TOR","9","13","40%","-191","AT HOME","TB","14","18","43%","-683"
"2025-05-25","STATUS","AS FAVORITE","TOR","16","16","50%","+212","AS UNDERDOG OR EVEN","TB","13","14","48%","-505"
"2025-05-25","MONEY LINE","WHEN LINE WAS -182 TO -152","TOR","10","11","47%","-102","WHEN LINE WAS +126 TO +156","TB","4","7","36%","-370"
"2025-05-25","LOCATION & STATUS","AS ROAD FAVORITE","TOR","8","10","44%","+35","AS HOME UNDERDOG","TB","11","11","50%","-359"
"2025-05-25","OPP WIN%","VS TEAMS THAT WIN <46% OF GAMES","TOR","4","10","28%","-647","VS TEAMS THAT WIN >54% OF GAMES","TB","9","7","56%","+157"
"2025-05-25","OPP DEFENSE","VS TEAMS ALLOWING >4.2 RUNS","TOR","1","4","20%","-337","VS TEAMS ALLOWING 3.0 TO 4.2 RUNS","TB","12","16","42%","-468"
"2025-05-25","REST","3RD GAME WITHOUT A DAY OFF","TOR","17","16","51%","+117","3RD GAME WITHOUT A DAY OFF","TB","19","16","54%","+309"
"2025-05-25","HEAD TO HEAD","VS TB","TOR","1","3","25%","-237","VS TOR","TB","3","1","75%","+235"
