Game Date,Split Type,Away Category,Away Team,Away Wins,Away Losses,Away Win %,Away P/L,Home Category,Home Team,Home Wins,Home Losses,Home Win %,Home P/L
"2025-05-28","PROJECTED STARTER","when Joe Ryan starts","MIN","4","5","44%","-172","when Taj Bradley starts","TB","6","4","60%","+219"
"2025-05-28","ALL","All Games","CHW","17","37","31%","-1007","All Games","NYM","33","21","61%","+283"
"2025-05-28","LOCATION","On Road","CHW","5","22","18%","-1238","At Home","NYM","20","6","76%","+725"
"2025-05-28","STATUS","As Underdog or Even","CHW","17","37","31%","-1007","As Favorite","NYM","26","13","66%","+342"
"2025-05-28","MONEY LINE","When Line was +212 to +242","CHW","1","6","14%","-364","When Line was -295 to -265","NYM","3","1","75%","+5"
"2025-05-28","LOCATION & STATUS","As Road Underdog","CHW","5","22","18%","-1238","As Home Favorite","NYM","18","5","78%","+619"
"2025-05-28","OPP WIN%","vs Teams That Win >54% of Games","CHW","2","10","16%","-613","vs Teams That Win <46% of Games","NYM","9","9","50%","-316"
"2025-05-28","OPP DEFENSE","vs Teams Allowing <3.9 Runs","CHW","4","7","36%","-70","vs Teams Allowing >4.2 Runs","NYM","30","17","63%","+420"
"2025-05-28","REST","3rd game without a day off","CHW","12","27","30%","-784","3rd game without a day off","NYM","24","13","64%","+385"
"2025-05-28","HEAD TO HEAD","vs NYM","CHW","0","1","0%","-100","vs CHW","NYM","1","0","100%","+35"
"2025-05-28","PROJECTED STARTER","when Jonathan Cannon starts","CHW","1","7","12%","-512","when Tylor Megill starts","NYM","4","6","40%","-233"
"2025-05-28","ALL","All Games","CIN","27","28","49%","-361","All Games","KC","29","26","52%","+97"
"2025-05-28","LOCATION","On Road","CIN","13","14","48%","-74","At Home","KC","17","10","63%","+218"
"2025-05-28","STATUS","As Underdog or Even","CIN","15","16","48%","+47","As Favorite","KC","13","9","59%","-108"
"2025-05-28","MONEY LINE","When Line was -112 to +118","CIN","12","10","54%","+201","When Line was -138 to -108","KC","7","7","50%","-113"
"2025-05-28","LOCATION & STATUS","As Road Underdog","CIN","9","10","47%","+55","As Home Favorite","KC","12","8","60%","-80"
"2025-05-28","OPP WIN%","vs Teams That Win 46-54% of Games","CIN","6","7","46%","-107","vs Teams That Win 46-54% of Games","KC","6","10","37%","-270"
"2025-05-28","OPP DEFENSE","vs Teams Allowing <3.9 Runs","CIN","5","4","55%","+159","vs Teams Allowing 3.9 to 4.2 Runs","KC","3","5","37%","-248"
"2025-05-28","REST","3rd game without a day off","CIN","20","21","48%","-195","3rd game without a day off","KC","23","19","54%","+265"
"2025-05-28","HEAD TO HEAD","vs KC","CIN","1","0","100%","+97","vs CIN","KC","0","1","0%","-100"
"2025-05-28","PROJECTED STARTER","when Brady Singer starts","CIN","6","4","60%","+167","when Daniel Lynch starts","KC","1","0","100%","+180"
"2025-05-28","ALL","All Games","BOS","27","29","48%","-713","All Games","MIL","27","28","49%","-529"
"2025-05-28","LOCATION","On Road","BOS","11","15","42%","-520","At Home","MIL","16","10","61%","+323"
"2025-05-28","STATUS","As Underdog or Even","BOS","7","10","41%","-233","As Favorite","MIL","19","8","70%","+579"
"2025-05-28","MONEY LINE","When Line was -122 to +108","BOS","11","13","45%","-314","When Line was -128 to +102","MIL","12","9","57%","+154"
"2025-05-28","LOCATION & STATUS","As Road Underdog","BOS","5","8","38%","-260","As Home Favorite","MIL","13","4","76%","+597"
"2025-05-28","OPP WIN%","vs Teams That Win 46-54% of Games","BOS","8","10","44%","-301","vs Teams That Win 46-54% of Games","MIL","8","3","72%","+464"
